annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
TV Movie,No budget,"Marjaana Mykkänen,Stars,Samuel Fuller",Marjaana Mykkänen,57m,Documentary,"Finnish,English,Italian,Swedish,French,Japanese",,8,Finland,1987,No Popularity Score,,Marjaana Mykkänen,5.5,Keskiyön auringon kuvat
1956,"$6,000,000 (estimated)","King Vidor,Writers,Lev Tolstoy",King Vidor,3h 28m,"Drama,Romance,War","English,Russian,French",,11K,"Italy,United States",PG,No Popularity Score,"December 14, 1956",King Vidor,6.7,War and Peace
1970,No budget,"Claude Chabrol,Charlotte Armstrong,Claude Chabrol",Claude Chabrol,0,Drama,French,,1.9K,"France,Italy,Belgium",2h 4m,No Popularity Score,"August 26, 1970",Claude Chabrol,7.2,The Breach
1971,No budget,"Claude Chabrol,Edouard Atiyah,Claude Chabrol",Claude Chabrol,1h 40m,"Crime,Drama",French,,2.3K,"Italy,France",PG,No Popularity Score,"March 31, 1971",Claude Chabrol,7.2,Just Before Nightfall
TV Movie,No budget,"Anne Andreu,Anne Andreu,Stars",Anne Andreu,1h 1m,Documentary,French,,26,France,2005,No Popularity Score,"March 24, 2006",Anne Andreu,7.5,Le cinéma passe à table
1995,No budget,"Pascal Aubier,Writers,Patrick Modiano",Pascal Aubier,0,"Comedy,Drama,Music","French,English",,154,France,1h 46m,No Popularity Score,"May 25, 1995",Pascal Aubier,6.4,Le fils de Gascogne
1942,No budget,"Louis De Rochemont,Robert L. Richards,Westbrook Van Voorhis",Louis De Rochemont,22m,"Documentary,Short,War",English,,26,United States,Passed,No Popularity Score,,Louis De Rochemont,5.4,"Africa, Prelude to Victory"
1998,"$30,000,000 (estimated)","Sam Raimi,Writer,Scott B. Smith",Sam Raimi,2h 1m,"Crime,Drama,Thriller",English,,76K,"United Kingdom,Germany,France,United States,Japan",R,No Popularity Score,"March 24, 1999",Sam Raimi,7.5,A Simple Plan
1971,No budget,"Ernest Pintoff,Writers,Frank Lauria",Ernest Pintoff,1h 16m,Comedy,English,,248,United States,R,No Popularity Score,,Ernest Pintoff,4.9,Dynamite Chicken
1966,"£422,816 (estimated)","Don Chaffey,Writers,Michael Carreras",Don Chaffey,1h 32m,"Adventure,Comedy,Fantasy","Greek,English",,9.6K,United Kingdom,Approved,No Popularity Score,"December 1, 1966",Don Chaffey,5.7,One Million Years B.C.
1970,No budget,"Burgess Meredith,Burgess Meredith,Joseph Zucchero",Burgess Meredith,1h 29m,"Fantasy,Mystery,Thriller","English,Mandarin,Cantonese",,256,"Canada,United States",PG,No Popularity Score,"February 8, 1978",Burgess Meredith,3.4,The Yin and the Yang of Mr. Go
TV Movie,No budget,"Judy Muller,Mickey Rooney,Judy Muller",Judy Muller,0,"Documentary,History,War",English,,0,United States,2007,No Popularity Score,,Judy Muller,0.0,California at War
1961,No budget,"Robert D. Webb,Writers,Jesse Lasky Jr.",Robert D. Webb,1h 37m,Adventure,English,,418,United States,Not Rated,No Popularity Score,"April 3, 1964",Robert D. Webb,5.3,Pirates of Tortuga
TV Movie,No budget,"Vincent McEveety,Richard Fielder,Stars",Vincent McEveety,G,"Drama,Western",English,,120,United States,1969,No Popularity Score,,Vincent McEveety,5.6,This Savage Land
1965,"$7,000,000 (estimated)","John Sturges,William Gulick,John Gay",John Sturges,2h 45m,"Comedy,Western","English,Sioux",,4.4K,United States,Approved,No Popularity Score,"August 5, 2003",John Sturges,6.5,The Hallelujah Trail
1950,"$1,232,000 (estimated)","John Huston,Ben Maddow,John Huston",John Huston,1h 52m,"Crime,Drama,Film-Noir","English,German",,30K,United States,Passed,No Popularity Score,"December 6, 1950",John Huston,7.8,The Asphalt Jungle
Video Game,No budget,"Directors,Matt Samia,Mark Schwarz",Directors,T,"Action,Adventure,Sci-Fi",English,,5.5K,United States,1998,No Popularity Score,,Directors,9.1,StarCraft
1971,"$27,000 (estimated)","James Bidgood,James Bidgood,Don Brooks",James Bidgood,1h 5m,"Drama,Fantasy",,,1.7K,United States,Not Rated,No Popularity Score,"October 16, 1974",James Bidgood,6.6,Pink Narcissus
Video Game,No budget,"Feargus Urquhart,Mark O'Green,Stars",Feargus Urquhart,M,"Action,Adventure,Sci-Fi",English,,4.1K,United States,1997,No Popularity Score,,Feargus Urquhart,9.2,Fallout
1994,No budget,"Kim Longinotto,Jano Williams,Takarazuka Kagekidan",Kim Longinotto,0,Documentary,English,,57,United Kingdom,50m,No Popularity Score,,Kim Longinotto,7.4,Dream Girls
1998,"$2,200,000 (estimated)","Todd Solondz,Todd Solondz,Stars",Todd Solondz,2h 14m,"Comedy,Drama","English,Russian",,74K,United States,NC-17,"3,762","May 15, 1998",Todd Solondz,7.7,Happiness
1996,No budget,"Ted Demme,Scott Rosenberg,Stars",Ted Demme,1h 52m,"Comedy,Drama,Romance",English,,35K,United States,R,No Popularity Score,"April 1, 1999",Ted Demme,7.1,Beautiful Girls
2017,No budget,"Ody C. Harahap,Writers,Upi Avianto",Ody C. Harahap,1h 50m,"Comedy,Fantasy,Music",Indonesian,,475,"Indonesia,South Korea",TV-14,No Popularity Score,,Ody C. Harahap,7.1,Sweet Twenty
Video,No budget,"Charles Kiselyak,Charles Kiselyak,Stars",Charles Kiselyak,37m,"Documentary,Short",English,,42,United States,2002,No Popularity Score,,Charles Kiselyak,5.7,Between Two Worlds
2006,"$70,000,000 (estimated)","M. Night Shyamalan,M. Night Shyamalan,Stars",M. Night Shyamalan,1h 50m,"Drama,Fantasy,Mystery",English,,104K,United States,PG-13,No Popularity Score,"August 23, 2006",M. Night Shyamalan,5.5,Lady in the Water
TV Movie,No budget,"Natasja Crone-Back,James L. Sampson,Natasja Crone-Back",Natasja Crone-Back,25m,Documentary,Danish,,0,Denmark,2002,No Popularity Score,,Natasja Crone-Back,0.0,Portræt af en stjerne
TV Movie,No budget,"Jes Dorph-Petersen,Ninna Kokholm,Frants Pandal",Jes Dorph-Petersen,22m,"Documentary,History","Danish,English",,0,Denmark,2003,No Popularity Score,,Jes Dorph-Petersen,0.0,TV2 - når sandheden skal frem
Music Video,No budget,"Paris Barclay,Stars,Kid 'N Play",Paris Barclay,TV-PG,Music,English,,16,United States,1990,No Popularity Score,,Paris Barclay,7.5,Kid 'n Play: Funhouse
Music Video,No budget,"Troy Smith,Stars,B.M.U.",Troy Smith,Unrated,Music,English,,13,United States,1994,No Popularity Score,,Troy Smith,7.2,Black Men United: U Will Know
Music Video,No budget,"Forest Whitaker,Whitney Houston,Forest Whitaker",Forest Whitaker,3m,Music,English,,42,United States,1995,No Popularity Score,,Forest Whitaker,6.4,Whitney Houston: Exhale (Shoop Shoop)
2007,"$140,000,000 (estimated)","Brett Ratner,Jeff Nathanson,Ross LaManna",Brett Ratner,1h 31m,"Action,Comedy,Crime","English,French,Japanese,Mandarin,Latin",,183K,"United States,Germany",PG-13,"3,981","October 17, 2007",Brett Ratner,6.2,Rush Hour 3
2013,No budget,"Sheng Ding,Writers,Sheng Ding",Sheng Ding,1h 50m,"Action,Crime,Drama",Mandarin,,11K,"China,Hong Kong",Not Rated,No Popularity Score,"May 13, 2015",Sheng Ding,5.9,Police Story: Lockdown
Music Video,No budget,"Morgan Lawley,Jill Sobule,Morgan Lawley",Morgan Lawley,0,Music,English,,0,United States,1995,No Popularity Score,,Morgan Lawley,0.0,Jill Sobule: Supermodel
2021,No budget,"Chris Palmer,Writers,Bill Finger",Chris Palmer,1h 25m,"Animation,Action,Crime","English,Cantonese,Italian",,20K,United States,PG-13,No Popularity Score,"June 23, 2021",Chris Palmer,7.2,"Batman: The Long Halloween, Part One"
2021,"$200,000,000 (estimated)","Jon Watts,Writers,Chris McKenna",Jon Watts,2h 28m,"Action,Adventure,Fantasy",English,,873K,United States,PG-13,155,"December 15, 2021",Jon Watts,8.2,Spider-Man: No Way Home
TV Movie,No budget,"Stars,William Shatner,a-ha",Stars,0,Music,English,,16,United States,2002,No Popularity Score,,Stars,7.2,100 Greatest One Hit Wonders
2022,"$200,000,000 (estimated)","Sam Raimi,Michael Waldron,Stan Lee",Sam Raimi,2h 6m,"Action,Adventure,Fantasy","English,Spanish,Chinese",,475K,United States,PG-13,519,"May 4, 2022",Sam Raimi,6.9,Doctor Strange in the Multiverse of Madness
Music Video,No budget,"Gary Glitter,Gary Glitter",Gary Glitter,3m,"Short,Music",English,,0,United States,1972,No Popularity Score,,Gary Glitter,0.0,Gary Glitter: Rock & Roll (Part Two)
2015,"$65,000,000 (estimated)","Paul McGuigan,Writers,Max Landis",Paul McGuigan,1h 50m,"Drama,Horror,Sci-Fi",English,,60K,"United Kingdom,Canada,United States",PG-13,No Popularity Score,"November 25, 2015",Paul McGuigan,5.9,Victor Frankenstein
Video,No budget,"Directors,Paul Mitchell,Dana Calderwood",Directors,0,"Short,Game-Show",English,,0,United States,1994,No Popularity Score,,Directors,0.0,Double Dare: Super Sloppiest Moments
1996,"$14,000,000 (estimated)","Wes Craven,Kevin Williamson,Stars",Wes Craven,1h 51m,"Horror,Mystery",English,,387K,United States,R,588,"July 16, 1997",Wes Craven,7.4,Scream
1999,"$65,000,000 (estimated)","Les Mayfield,Michael Berry,John Blumenthal",Les Mayfield,1h 33m,"Action,Comedy,Crime","English,Spanish",,89K,"Germany,United States",PG-13,No Popularity Score,"November 17, 1999",Les Mayfield,6.3,Blue Streak
Music Video,No budget,"Jim Shea,Stars,The Bangles",Jim Shea,4m,Music,English,,50,United States,1987,No Popularity Score,,Jim Shea,7.0,The Bangles: A Hazy Shade of Winter
1940,No budget,"Oliver Garver,Stars,Ann Morriss",Oliver Garver,11m,"Documentary,Short",English,,216,United States,Approved,No Popularity Score,,Oliver Garver,4.8,Hollywood: Style Center of the World
1946,No budget,"Archie Mayo,Writers,Harry Segall",Archie Mayo,1h 40m,"Adventure,Comedy,Fantasy",English,,3.2K,United States,Approved,No Popularity Score,"October 17, 1947",Archie Mayo,6.8,Angel on My Shoulder
TV Special,No budget,"Matt Houghton,Stars,Hugo Chegwin",Matt Houghton,44m,Documentary,English,,63,United Kingdom,2021,No Popularity Score,,Matt Houghton,7.8,Kurupting the Industry: The People Just Do Nothing Story
Video,"CA$15,000 (estimated)","Donald Munro,Donald Munro,Razaaq Adoti",Donald Munro,45m,Documentary,English,,53,Canada,2006,No Popularity Score,,Donald Munro,8.4,The Hard Corps: Call to Action
1950,No budget,"Hal Walker,James B. Allardice,Fred F. Finklehoffe",Hal Walker,1h 33m,"Comedy,Musical,War","English,French",,2.6K,United States,Not Rated,No Popularity Score,"June 27, 1952",Hal Walker,5.5,At War with the Army
Video,"$12,000,000 (estimated)","Sheldon Lettich,Sheldon Lettich,George Saunders",Sheldon Lettich,R,"Action,Thriller",English,,6.6K,"United Kingdom,Germany,United States",2006,No Popularity Score,"December 6, 2006",Sheldon Lettich,5.2,The Hard Corps
1988,"$7,000,000 (estimated)","Craig R. Baxley,Robert Reneau,Stars",Craig R. Baxley,1h 36m,"Action,Comedy,Crime",English,,13K,United States,R,No Popularity Score,"June 8, 1988",Craig R. Baxley,5.5,Action Jackson
2018,"$40,000,000 (estimated)","Donovan Marsh,Writers,Arne Schmidt",Donovan Marsh,2h 1m,"Action,Thriller","English,Russian",,73K,"United Kingdom,China,France,United States",R,"1,915","December 12, 2018",Donovan Marsh,6.6,Hunter Killer
1987,No budget,"Paul Cox,Paul Cox,John Hurt",Paul Cox,0,"Animation,Biography,Drama",English,,454,"Australia,Belgium",1h 45m,No Popularity Score,"June 4, 2014",Paul Cox,7.5,Vincent
1990,No budget,"Paul Cox,Paul Cox,Barry Dickins",Paul Cox,0,"Drama,Fantasy,Romance",English,,110,Australia,1h 31m,No Popularity Score,,Paul Cox,6.2,Golden Braid
2011,No budget,"David Bradbury,Mike Rubbo,Stars",David Bradbury,0,"Documentary,Biography",English,,13,Australia,1h 25m,No Popularity Score,,David Bradbury,6.6,On Borrowed Time
1946,No budget,"Roy William Neill,Roy Chanslor,Cornell Woolrich",Roy William Neill,1h 21m,"Adventure,Crime,Film-Noir",English,,3.9K,United States,Passed,No Popularity Score,"August 20, 1947",Roy William Neill,6.9,Black Angel
1993,"$68,000 (estimated)","Lodge Kerrigan,Lodge Kerrigan,Stars",Lodge Kerrigan,1h 19m,"Crime,Drama,Thriller",English,,6K,United States,Not Rated,No Popularity Score,May 1994,Lodge Kerrigan,7.0,"Clean, Shaven"
2009,"$70,000,000 (estimated)","Quentin Tarantino,Quentin Tarantino,Stars",Quentin Tarantino,2h 33m,"Adventure,Drama,War","English,German,French,Italian",,1.6M,"Germany,United States",R,154,"May 20, 2009",Quentin Tarantino,8.4,Inglourious Basterds
2002,"$15,500,000 (estimated)","Atom Egoyan,Atom Egoyan,Stars",Atom Egoyan,1h 55m,"Drama,War","English,Armenian,French,German,Turkish",,15K,"Canada,France",R,No Popularity Score,"May 20, 2002",Atom Egoyan,6.3,Ararat
TV-MA,No budget,"Uluç Bayraktar,Mehmet Eroglu,Damla Serim",Uluç Bayraktar,0,"Crime,Drama,Mystery",Turkish,,0,Turkey,No Pegi,No Popularity Score,,Uluç Bayraktar,0.0,10 Days of a Curious Man
2023,No budget,"Uluç Bayraktar,Writers,Mehmet Eroglu",Uluç Bayraktar,2h 4m,"Crime,Drama,Mystery",Turkish,,5.4K,Turkey,TV-MA,No Popularity Score,"March 3, 2023",Uluç Bayraktar,6.5,10 Days of a Good Man
2020,No budget,"Cem Yilmaz,Cem Yilmaz,Stars",Cem Yilmaz,0,Comedy,Turkish,,7.8K,Turkey,1h,No Popularity Score,"February 13, 2020",Cem Yilmaz,5.6,Karakomik Filmler: Emanet
2014,No budget,"Müfit Can Saçinti,Birol Güven,Stars",Müfit Can Saçinti,0,Comedy,Turkish,,4.9K,Turkey,1h 49m,No Popularity Score,,Müfit Can Saçinti,6.6,Dairy Philosopher
2020,No budget,"Ezel Akay,Writers,Ezel Akay",Ezel Akay,1h 52m,Comedy,Turkish,,7.9K,Turkey,TV-MA,No Popularity Score,"December 4, 2020",Ezel Akay,3.7,Leyla Everlasting
2004,"$1,500,000 (estimated)","Ezel Akay,Levent Kazak,Özcan Deniz",Ezel Akay,0,"Comedy,Drama,Music",Turkish,,13K,Turkey,2h 8m,No Popularity Score,"March 17, 2005",Ezel Akay,7.4,Neredesin Firuze
2017,No budget,"Osman Tasci,Writers,Ethem Özisik",Osman Tasci,0,"Action,Adventure,Comedy",Turkish,,370,Turkey,1h 49m,No Popularity Score,,Osman Tasci,4.6,Poyraz Karayel: Küresel Sermaye
Music Video,No budget,"BamBam,BamBam",BamBam,3m,Music,"Korean,English",,0,South Korea,2022,No Popularity Score,,BamBam,0.0,BamBam: Melting
Video Game,No budget,"Takayuki Shimamura,Yoshikazu Yamashita,Makoto Wada",Takayuki Shimamura,E,"Action,Family,Sport",Japanese,,1.7K,Japan,2009,No Popularity Score,,Takayuki Shimamura,7.9,Wii Sports Resort
Video Game,No budget,"Jon Burton,Writers,Leigh Brackett",Jon Burton,E10+,"Action,Adventure,Comedy",English,,4.9K,United Kingdom,2007,No Popularity Score,,Jon Burton,8.7,Lego Star Wars: The Complete Saga
Video Game,No budget,No Casting,No Director,E,"Action,Adventure,Comedy",English,,1.1K,Denmark,2012,No Popularity Score,,No Writers,6.3,Subway Surfers
TV Special,No budget,"Mark Doctrow,Michelle Génecé Patterson,Anderson Cooper",Mark Doctrow,0,No kind,English,,0,United States,2020,No Popularity Score,,Mark Doctrow,0.0,DC Fandome - CNN Heroes: Real Life Heroes in the Age of Coronavirus
2017,"$97,000,000 (estimated)","James Mangold,Writers,James Mangold",James Mangold,2h 17m,"Action,Drama,Sci-Fi","English,Spanish",,828K,United States,R,463,"March 1, 2017",James Mangold,8.1,Logan
2014,"$200,000,000 (estimated)","Bryan Singer,Writers,Simon Kinberg",Bryan Singer,2h 12m,"Action,Adventure,Sci-Fi","English,Vietnamese,French",,744K,"United Kingdom,United States",PG-13,775,"May 21, 2014",Bryan Singer,7.9,X-Men: Days of Future Past
TV Movie,No budget,"Anne Hathaway,Anne Hathaway",Anne Hathaway,24m,No kind,English,,21,United States,2003,No Popularity Score,,Anne Hathaway,6.2,The Making of 'the Other Side of Heaven'
2015,No budget,"Leslye Headland,Leslye Headland,Stars",Leslye Headland,1h 41m,"Comedy,Drama,Romance",English,,48K,United States,R,"2,395","September 7, 2015",Leslye Headland,6.5,Sleeping with Other People
2014,"£1,000 (estimated)","Gary Marston,Gary Marston,Stars",Gary Marston,0,"Short,Drama",English,,6,United Kingdom,11m,No Popularity Score,,Gary Marston,9.3,Alfie & Marie
2023,"$20,000,000 (estimated)","Todd Haynes,Writers,Samy Burch",Todd Haynes,1h 57m,"Comedy,Drama",English,,50K,United States,R,157,"May 20, 2023",Todd Haynes,6.9,May December
1988,No budget,"Dave Christiano,Dave Christiano,Rich Christiano",Dave Christiano,32m,"Comedy,Mystery,Short",English,,106,United States,Not Rated,No Popularity Score,,Dave Christiano,3.6,Crime of the Age
2016,No budget,"Jim Klock,William Mark McCullough,Chad Ridgely",Jim Klock,1h 23m,"Comedy,Horror",No Language,,1.8K,United States,Not Rated,No Popularity Score,,Jim Klock,4.5,Massacre on Aisle 12
1911,No budget,"Józef Ostoja-Sulnicki,Aleksander Hertz,Eliza Orzeszkowa",Józef Ostoja-Sulnicki,0,"Short,Drama","None,Polish",,0,No Country,5m,No Popularity Score,,Józef Ostoja-Sulnicki,0.0,Meir Ezofowicz
1986,No budget,"Bryan Ferry,Bryan Ferry",Bryan Ferry,0,"Short,Music",No Language,,0,No Country,5m,No Popularity Score,,Bryan Ferry,0.0,Bryan Ferry: Help Me
TV Movie,No budget,"Alan Metzger,Writers,Abby Mann",Alan Metzger,Not Rated,"Drama,Thriller",English,,222,United States,1987,No Popularity Score,"April 3, 1989",Alan Metzger,6.5,Kojak: The Price of Justice
1968,"$5,800,000 (estimated)","Franklin J. Schaffner,Writers,Michael Wilson",Franklin J. Schaffner,1h 52m,"Adventure,Sci-Fi",English,,192K,United States,G,"1,049","April 25, 1968",Franklin J. Schaffner,8.0,Planet of the Apes
1955,"$5,500,000 (estimated)","Joseph L. Mankiewicz,Writers,Jo Swerling",Joseph L. Mankiewicz,2h 30m,"Comedy,Crime,Musical",English,,19K,United States,Not Rated,"4,656","March 1, 1957",Joseph L. Mankiewicz,7.1,Guys and Dolls
1939,No budget,"Nick Grinde,Karl Brown,Leslie T. White",Nick Grinde,1h 4m,"Crime,Horror,Sci-Fi",English,,1.9K,United States,Unrated,No Popularity Score,"February 22, 1940",Nick Grinde,6.8,The Man They Could Not Hang
1996,No budget,"Susan F. Walker,David Kim,Stars",Susan F. Walker,0,"Documentary,Biography",English,,114,United States,46m,No Popularity Score,,Susan F. Walker,7.1,"Clark Gable: Tall, Dark and Handsome"
1957,"$2,644,000 (estimated)","John Ford,Frank Fenton,William Wister Haines",John Ford,1h 50m,"Biography,Drama,War",English,,4.6K,United States,Approved,No Popularity Score,"October 11, 1957",John Ford,6.6,The Wings of Eagles
Video,No budget,"Todd Haynes,Todd Haynes",Todd Haynes,22m,Short,English,,9,United Kingdom,2006,No Popularity Score,,Todd Haynes,7.9,Maternal Overdrive
1950,No budget,"Aaron Stell,Writers,Grant Leenhouts",Aaron Stell,10m,"Documentary,Short",English,,71,United States,Approved,No Popularity Score,,Aaron Stell,6.1,The Soundman
1943,No budget,"Delmer Daves,Steve Fisher,Delmer Daves",Delmer Daves,2h 15m,"Adventure,War","English,Japanese",,5.7K,United States,Passed,No Popularity Score,"August 3, 1945",Delmer Daves,7.1,Destination Tokyo
1960,No budget,"Fritz Lang,Writers,Fritz Lang",Fritz Lang,0,"Crime,Mystery,Thriller",German,,3.8K,"West Germany,France,Italy",1h 43m,No Popularity Score,"June 20, 1961",Fritz Lang,6.9,"The 1,000 Eyes of Dr. Mabuse"
1994,"$115,000,000 (estimated)","James Cameron,Writers,James Cameron",James Cameron,2h 21m,"Action,Comedy,Thriller","English,French,Arabic,German",,280K,United States,R,425,"October 12, 1994",James Cameron,7.3,True Lies
TV Movie,No budget,"Achim Podak,Friedemann Beyer,Achim Podak",Achim Podak,56m,"Documentary,Biography",German,,41,Germany,2000,No Popularity Score,,Achim Podak,6.5,Tanz mit dem Tod: Der Ufa-Star Sybille Schmitz
1929,No budget,"Georg Wilhelm Pabst,Margarete Böhme,Rudolf Leonhardt",Georg Wilhelm Pabst,1h 19m,Drama,German,,4.8K,Germany,Not Rated,No Popularity Score,"April 11, 1930",Georg Wilhelm Pabst,7.8,Diary of a Lost Girl
1938,No budget,"H. Bruce Humberstone,Charles Belden,Earl Derr Biggers",H. Bruce Humberstone,1h 7m,"Crime,Mystery",English,,1.8K,United States,Passed,No Popularity Score,"June 14, 1939",H. Bruce Humberstone,6.7,Charlie Chan in Honolulu
1975,No budget,"Melvin Frank,Writer,Neil Simon",Melvin Frank,1h 38m,Comedy,English,,3.8K,United States,PG,No Popularity Score,"September 10, 1975",Melvin Frank,6.7,The Prisoner of Second Avenue
1967,"$3,500,000 (estimated)","Richard Brooks,Truman Capote,Richard Brooks",Richard Brooks,2h 14m,"Biography,Crime,Drama","English,French,Spanish",,29K,United States,R,No Popularity Score,"November 19, 2003",Richard Brooks,7.9,In Cold Blood
1962,No budget,"Blake Edwards,J.P. Miller,Stars",Blake Edwards,1h 57m,Drama,English,,14K,United States,Approved,No Popularity Score,"March 20, 1963",Blake Edwards,7.8,Days of Wine and Roses
1963,"$2,500,000 (estimated)","Martin Ritt,Irving Ravetch,Harriet Frank Jr.",Martin Ritt,1h 52m,"Drama,Western",English,,24K,United States,Passed,No Popularity Score,"September 13, 1963",Martin Ritt,7.8,Hud
